id,source_domain,end_domain
1,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Wikipedia:Featured_articles
2,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Wikipedia:Pending_changes
3,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/w/index.php?title=Special:Log&type=review&page=Enrico_Fermi
4,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Fermi_(disambiguation)
5,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Rome
6,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Chicago
7,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Scuola_Normale_Superiore_di_Pisa
8,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Nuclear_chain_reaction
9,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Fermi%E2%80%93Dirac_statistics
10,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Fermi%27s_golden_rule
11,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Fermi_paradox
12,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Fermi_problem
13,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Fermi%27s_interaction
14,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Laura_Capon_Fermi
15,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Matteucci_Medal
16,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Nobel_Prize_for_Physics
17,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Hughes_Medal
18,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Medal_for_Merit
19,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Franklin_Medal
20,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society
21,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Barnard_Medal_for_Meritorious_Service_to_Science
22,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Rumford_Prize
23,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Max_Planck_Medal
24,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Physics
25,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Scuola_Normale_Superiore_di_Pisa
26,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/University_of_G%C3%B6ttingen
27,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Leiden_University
28,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/University_of_Florence
29,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Sapienza_University_of_Rome
30,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Columbia_University
31,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/University_of_Chicago
32,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Luigi_Puccianti
33,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Max_Born
34,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Paul_Ehrenfest
35,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Harold_Agnew
36,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Edoardo_Amaldi
37,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Owen_Chamberlain
38,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Geoffrey_Chew
39,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Mildred_Dresselhaus
